company,RIC,ISIN,GICS_sector,TRBC_sector,country,base_ric,industry
DiaMedica Therapeutics Inc,DMAC.OQ,CA25253X2077,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,United States,DMAC.OQ,Health Care
Air Industries Group,AIRI.A,US00912N4034,Industrials/Capital Goods/Aerospace & Defense/Aerospace & Defense,Aircraft Parts Manufacturing,United States,AIRI.A,Industrials
PVR Partners Common Units,PVR.N^C14,US6936651016,"Energy/Energy/Oil, Gas & Consumable Fuels/Coal & Consumable Fuels",Coal (NEC),United States,PVR.N^C14,Energy
Enel Green Power Ord Shs,EGPW.MI^D16,IT0004618465,Utilities/Utilities/Independent Power and Renewable Electricity Producers/Renewable Electricity,Renewable IPPs,Italy,EGPW.MI^D16,Utilities
Superclick Ord Shs,SPCK.OB^A12,US86804U1007,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),Canada,SPCK.OB^A12,Information Technology
Norma Group SE,NOEJ.DE,DE000A1H8BV3,Industrials/Capital Goods/Machinery/Industrial Machinery & Supplies & Components,Industrial Machinery & Equipment (NEC),Germany,NOEJ.DE,Industrials
Cancom SE,COKG.DE,DE0005419105,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),Germany,COKG.DE,Information Technology
Chaman Lal Setia Exports Ltd,CLSE.NS,INE419D01026,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Agricultural Products & Services",Food Processing (NEC),India,CLSE.NS,Consumer Staples
Bystronic AG,BYS.S,CH0244017502,Industrials/Capital Goods/Machinery/Industrial Machinery & Supplies & Components,Industrial Machinery & Equipment (NEC),Switzerland,BYS.S,Industrials
Wishpond Technologies Ltd,WISH.V,CA97730P2061,Information Technology/Software & Services/Software/Application Software,Software (NEC),Canada,WISH.V,Information Technology
Crumbs Bake Shop Inc,CRMBQ.PK,US2288031022,Consumer Staples/Consumer Staples Distribution & Retail/Consumer Staples Distribution & Retail/Food Retail,Food Retail & Distribution (NEC),United States,CRMBQ.PK,Consumer Staples
Candela Ord Shs,CLZR.OQ^A10,US1369071022,Industrials/Capital Goods/Electrical Equipment/Electrical Components & Equipment,Electrical Components & Equipment (NEC),United States,CLZR.OQ^A10,Industrials
CMC Markets PLC,CMCX.L,GB00B14SKR37,Financials/Financial Services/Capital Markets/Investment Banking & Brokerage,Brokerage Services,United Kingdom,CMCX.L,Financials
Findev Inc,FDI.V,CA31773A1075,Financials/Financial Services/Financial Services/Commercial & Residential Mortgage Finance,Commercial Loans,Canada,FDI.V,Financials
Harvest Oil & Gas Corp,HRST.PK,US41755V2016,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Exploration & Production",Oil & Gas Exploration and Production (NEC),United States,HRST.PK,Energy
IDT Corp,IDT.N,US4489475073,Communication Services/Telecommunication Services/Diversified Telecommunication Services/Integrated Telecommunication Services,Integrated Telecommunications Services (NEC),United States,IDT.N,Communication Services
DarioHealth Corp,DRIO.OQ,US23725P3082,Health Care/Health Care Equipment & Services/Health Care Technology/Health Care Technology,"Medical Equipment, Supplies & Distribution (NEC)",United States,DRIO.OQ,Health Care
Adaptimmune Therapeutics PLC,ADAP.OQ,US00653A1079,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Biopharmaceuticals,United Kingdom,ADAP.OQ,Health Care
Weingarten Realty Investors REIT Ord Shs,WRI.N^H21,US9487411038,Real Estate/Equity Real Estate Investment Trusts (REITs)/Retail REITs/Retail REITs,Retail REITs,United States,WRI.N^H21,Real Estate
Translate Bio Ord Shs,TBIO.OQ^I21,US89374L1044,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,United States,TBIO.OQ^I21,Health Care
Land Securities Group PLC,LAND.L,GB00BYW0PQ60,Real Estate/Equity Real Estate Investment Trusts (REITs)/Diversified REITs/Diversified REITs,Diversified REITs,United Kingdom,LAND.L,Real Estate
Gazprom Neft' PAO,SIBN.MM,RU0009062467,"Energy/Energy/Oil, Gas & Consumable Fuels/Integrated Oil & Gas",Integrated Oil & Gas,Russia,SIBN.MM,Energy
Idox PLC,IDOX.L,GB0002998192,Information Technology/Software & Services/Software/Application Software,Enterprise Software,United Kingdom,IDOX.L,Information Technology
Menon Bearings Ltd,MENO.NS,INE071D01033,Consumer Discretionary/Automobiles & Components/Automobile Components/Automotive Parts & Equipment,"Auto, Truck & Motorcycle Parts (NEC)",India,MENO.NS,Consumer Discretionary
MyHealthChecked PLC,MHCM.L,GB00BN7K5L93,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Supplies,Advanced Medical Equipment & Technology (NEC),United Kingdom,MHCM.L,Health Care
EyePoint Pharmaceuticals Inc,EYPT.OQ,US30233G2093,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),United States,EYPT.OQ,Health Care
Non-Standard Finance Ord Shs,NSF.L^H23,GB00BRJ6JV17,Financials/Financial Services/Consumer Finance/Consumer Finance,Consumer Lending (NEC),United Kingdom,NSF.L^H23,Financials
Bigband Networks Ord Shs,BBND.OQ^K11,US0897505097,Communication Services/Telecommunication Services/Diversified Telecommunication Services/Integrated Telecommunication Services,Integrated Telecommunications Services (NEC),United States,BBND.OQ^K11,Communication Services
Mazagon Dock Shipbuilders Ltd,MAZG.NS,INE249Z01020,Industrials/Capital Goods/Aerospace & Defense/Aerospace & Defense,Aerospace & Defense (NEC),India,MAZG.NS,Industrials
Next 15 Group PLC,NFGN.L,GB0030026057,Communication Services/Media & Entertainment/Media/Advertising,Advertising & Marketing (NEC),United Kingdom,NFGN.L,Communication Services
Equifax Inc,EFX.N,US2944291051,Industrials/Commercial & Professional Services/Professional Services/Research & Consulting Services,Professional Information Services (NEC),United States,EFX.N,Industrials
Advncd Med Opt Ord Shs,EYE.N^B09,US00763M1080,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United States,EYE.N^B09,Health Care
Barnes and Noble Ord Shs,BKS.N^H19,US0677741094,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Other Specialty Retail,Book & Magazine Retailers,United States,BKS.N^H19,Consumer Discretionary
SORL Auto Parts Ord Shs,SORL.OQ^E20,US78461U1016,Consumer Discretionary/Automobiles & Components/Automobile Components/Automotive Parts & Equipment,Automotive Systems,China (Mainland),SORL.OQ^E20,Consumer Discretionary
Arotech Ord Shs,ARTX.OQ^L19,US0426822039,,Computer Training,United States,ARTX.OQ^L19,
Aesthetic Medical International Holdings Group Ltd,PAIYY.PK,US00809M1045,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Health Care Services,"Hospitals, Clinics & Primary Care Services",China (Mainland),PAIYY.PK,Health Care
Quhuo Ltd,QH.OQ,US74841Q3083,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Diversified Support Services,Courier Services,China (Mainland),QH.OQ,Industrials
Xcel Brands Inc,XELB.OQ,US98400M2008,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Apparel Retail,Copyright Management,United States,XELB.OQ,Consumer Discretionary
Mcubs Midcity Investment REIT Ord Shs,3227.T^B21,JP3046450007,Real Estate/Equity Real Estate Investment Trusts (REITs)/Office REITs/Office REITs,Office REITs,Japan,3227.T^B21,Real Estate
