company,RIC,ISIN,GICS_sector,TRBC_sector,country,base_ric,industry
Blackstone Secured Lending Fund,BXSL.N,US09261X1028,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Investment Management & Fund Operators (NEC),United States,BXSL.N,Financials
Cibus Inc,CBUS.OQ,US17166A1016,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Advanced Medical Equipment & Technology (NEC),United States,CBUS.OQ,Health Care
Industrial Enterprises of America Ord Shs,IEAM.PK^L24,US4561322086,Materials/Materials/Chemicals/Commodity Chemicals,Specialty Chemicals (NEC),United States,IEAM.PK^L24,Materials
TomTom NV,TOM2.AS,NL0013332471,Information Technology/Software & Services/Software/Application Software,Portable Satellite Navigation,Netherlands,TOM2.AS,Information Technology
GRP Ltd,GRPI.NS,INE137I01015,Consumer Discretionary/Automobiles & Components/Automobile Components/Tires & Rubber,Tire Retreading,India,GRPI.NS,Consumer Discretionary
Northam Platinum Holdings Ltd,NPHJ.J,ZAE000298253,Materials/Materials/Metals & Mining/Precious Metals & Minerals,Platinum Mining,South Africa,NPHJ.J,Materials
Lumentum Holdings Inc,LITE.OQ,US55024U1097,Information Technology/Technology Hardware & Equipment/Communications Equipment/Communications Equipment,Communications & Networking (NEC),United States,LITE.OQ,Information Technology
Mavenir Systems Ord Shs,MVNR.N^D15,US5776751019,Information Technology/Software & Services/Software/Application Software,Software (NEC),United States,MVNR.N^D15,Information Technology
Microfluidics International Ord Shs,MFLU.OB^C11,US5950741059,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Biotechnology & Medical Research (NEC),United States,MFLU.OB^C11,Health Care
Nutrastar International Ord Shs,NUIN.PK^K18,US67060M1071,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),China (Mainland),NUIN.PK^K18,Health Care
ICG PLC,ICGIN.L,GB00BYT1DJ19,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Investment Management & Fund Operators (NEC),United Kingdom,ICGIN.L,Financials
Unipol Assicurazioni SpA,UNPI.MI,IT0004810054,Financials/Insurance/Insurance/Multi-line Insurance,Multiline Insurance & Brokers (NEC),Italy,UNPI.MI,Financials
RPMGlobal Holdings Ltd,RUL.AX,AU000000RUL2,Information Technology/Software & Services/Software/Application Software,Software (NEC),Australia,RUL.AX,Information Technology
"November 26, Inc",BIOLQ.PK,US0909117022,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Shell Companies,United States,BIOLQ.PK,Health Care
Mendus AB (publ),IMMUN.ST,SE0022239950,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Biotechnology & Medical Research (NEC),Sweden,IMMUN.ST,Health Care
Energizer Holdings Inc,ENR.N,US29272W1099,Consumer Staples/Household & Personal Products/Household Products/Household Products,Batteries & Uninterruptable Power Supplies,United States,ENR.N,Consumer Staples
Bioatla Inc,BCAB.OQ,US09077B1044,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,United States,BCAB.OQ,Health Care
OX2 Ord Shs,4DA.F^J24,SE0016075337,Industrials/Capital Goods/Construction & Engineering/Construction & Engineering,Renewable Energy Services,Sweden,4DA.F^J24,Industrials
Topcon Corp,7732.T,JP3630400004,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Electronic Equipment & Instruments",Testing & Measuring Equipment,Japan,7732.T,Information Technology
Groupe Dynamite Inc,GRGD.TO,CA39944C1005,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Apparel Retail,Apparel & Accessories Retailers (NEC),Canada,GRGD.TO,Consumer Discretionary
Valiant Organics Ltd,VALN.NS,INE565V01010,Materials/Materials/Chemicals/Commodity Chemicals,Specialty Chemicals (NEC),India,VALN.NS,Materials
Indutrade AB,INDT.ST,SE0001515552,Industrials/Capital Goods/Machinery/Industrial Machinery & Supplies & Components,Industrial Machinery & Equipment (NEC),Sweden,INDT.ST,Industrials
Sunworks Inc,SUNWQ.PK,US86803X2045,Industrials/Capital Goods/Electrical Equipment/Electrical Components & Equipment,Photovoltaic Solar Systems & Equipment,United States,SUNWQ.PK,Industrials
Meta Data ADR Representing 10 Ord Shs Class A,AIU.N^H24,US68276W6084,Consumer Discretionary/Consumer Services/Diversified Consumer Services/Education Services,Miscellaneous Educational Service Providers,Hong Kong,AIU.N^H24,Consumer Discretionary
Getin Noble Bank Ord Shs,GNB.WA^J22,PLGETBK00012,Financials/Banks/Banks/Diversified Banks,Banks (NEC),Poland,GNB.WA^J22,Financials
SATS Ltd,SATS.SI,SG1I52882764,Industrials/Transportation/Transportation Infrastructure/Airport Services,Airport Operators & Services (NEC),Singapore,SATS.SI,Industrials
Nichols PLC,NICL.L,GB0006389398,"Consumer Staples/Food, Beverage & Tobacco/Beverages/Soft Drinks & Non-alcoholic Beverages",Non-Alcoholic Beverages (NEC),United Kingdom,NICL.L,Consumer Staples
Ituran Location and Control Ltd,ITRN.OQ,IL0010818685,Information Technology/Technology Hardware & Equipment/Communications Equipment/Communications Equipment,Security & Surveillance,Israel,ITRN.OQ,Information Technology
Sigma Aldrich Ord Shs,SIAL.OQ^K15,US8265521018,Materials/Materials/Chemicals/Specialty Chemicals,Specialty Chemicals (NEC),United States,SIAL.OQ^K15,Materials
Petaquilla Minerals Ord Shs,PTQ.TO^C15,CA7160131073,Materials/Materials/Metals & Mining/Gold,Gold Mining,Canada,PTQ.TO^C15,Materials
Art Technology Group Ord Shs,ARTG.OQ^A11,US04289L1070,Information Technology/Software & Services/Software/Application Software,Software (NEC),United States,ARTG.OQ^A11,Information Technology
MicroFinancial Ord Shs,MFI.OQ^A15,US5950721093,Financials/Financial Services/Financial Services/Transaction & Payment Processing Services,Financial Technology (Fintech) (NEC),United States,MFI.OQ^A15,Financials
Metropole Television SA,MMTP.PA,FR0000053225,Communication Services/Media & Entertainment/Media/Broadcasting,Television Broadcasting,France,MMTP.PA,Communication Services
Hipages Group Holdings Ltd,HPG.AX,AU0000112104,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Online Services (NEC),Australia,HPG.AX,Communication Services
Unique Fabricating Inc,UFABQ.PK,US90915J1034,Consumer Discretionary/Automobiles & Components/Automobile Components/Automotive Parts & Equipment,Plastics,United States,UFABQ.PK,Consumer Discretionary
Coinbase Global Inc,COIN.OQ,US19260Q1076,Financials/Financial Services/Capital Markets/Financial Exchanges & Data,Blockchain & Cryptocurrency (NEC),United States,COIN.OQ,Financials
Concord Medical Services Holdings Ltd,CCM.N,US2062772049,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Health Care Services,Healthcare Facilities & Services (NEC),China (Mainland),CCM.N,Health Care
Investors Bancorp Ord Shs,ISBC.OQ^D22,US46146L1017,Financials/Banks/Banks/Regional Banks,Corporate Banks,United States,ISBC.OQ^D22,Financials
Perfect World ADR Reptg 5 Ord Shs Class B,PWRD.OQ^G15,US71372U1043,Communication Services/Media & Entertainment/Entertainment/Interactive Home Entertainment,Internet Gaming,China (Mainland),PWRD.OQ^G15,Communication Services
Opus Group Ord Shs,OPUS.ST^K20,SE0001696683,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Electronic Equipment & Instruments",Testing & Measuring Equipment,Sweden,OPUS.ST^K20,Information Technology
Eldorado Gold Corp,ELD.TO,CA2849025093,Materials/Materials/Metals & Mining/Gold,Gold Mining,Canada,ELD.TO,Materials
Addex Therapeutics Ltd,ADXN.S,CH0029850754,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Biotechnology & Medical Research (NEC),Switzerland,ADXN.S,Health Care
Tinybeans Group Ltd,TNY.AX,AU000000TNY6,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Social Media & Networking,United States,TNY.AX,Communication Services
Global Ship Lease Inc,GSL.N,MHY271836006,Industrials/Transportation/Marine Transportation/Marine Transportation,Deep Sea Freight,United Kingdom,GSL.N,Industrials
Relypsa Ord Shs,RLYP.O^I16,US7595311066,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Health Care Distributors,Pharmaceuticals Wholesale,United States,RLYP.O^I16,Health Care
Genomic Health Ord Shs,GHDX.OQ^K19,US37244C1018,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Diagnostics & Testing,United States,GHDX.OQ^K19,Health Care
VTTI Energy Partners Common Units,VTTI.K^I17,MHY9384M1012,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Storage & Transportation",Oil & Gas Transportation Services (NEC),United Kingdom,VTTI.K^I17,Energy
Acme Packet Ord Shs,APKT.OQ^D13,US0047641065,Industrials/Commercial & Professional Services/Professional Services/Research & Consulting Services,Business Support Services (NEC),United States,APKT.OQ^D13,Industrials
ZOZO Inc,3092.T,JP3399310006,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Apparel Retail,Apparel & Accessories Retailers (NEC),Japan,3092.T,Consumer Discretionary
Mastek Ltd,MAST.NS,INE759A01021,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),India,MAST.NS,Information Technology
PGT Innovations Ord Shs,PGTI.N^C24,US69336V1017,Industrials/Capital Goods/Building Products/Building Products,Doors & Window Frames,United States,PGTI.N^C24,Industrials
Global Ports Investments GDR,GLPRq.L^D23,US37951Q2021,Industrials/Transportation/Transportation Infrastructure/Marine Ports & Services,Marine Cargo Handling Services,Russia,GLPRq.L^D23,Industrials
Starent Networks Ord Shs,STAR.OQ^L09,US85528P1084,Information Technology/Technology Hardware & Equipment/Communications Equipment/Communications Equipment,Broadcasting Equipment,United States,STAR.OQ^L09,Information Technology
Coima Res Ord Shs,CRES.MI^H22,IT0005136681,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Operating Companies,Office Real Estate Rental & Development,Italy,CRES.MI^H22,Real Estate
Comarco Ord Shs,CMRO.PK^H19,US2000801090,Industrials/Capital Goods/Electrical Equipment/Electrical Components & Equipment,Electrical Components & Equipment (NEC),United States,CMRO.PK^H19,Industrials
Alimentation Couche-Tard Inc,ATD.TO,CA01626P1484,Consumer Staples/Consumer Staples Distribution & Retail/Consumer Staples Distribution & Retail/Food Retail,Gasoline Stations,Canada,ATD.TO,Consumer Staples
Punjab National Bank,PNBK.NS,INE160A01022,Financials/Banks/Banks/Diversified Banks,Banks (NEC),India,PNBK.NS,Financials
Sunopta Inc,SOY.TO,CA8676EP1086,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats",Food Processing (NEC),United States,SOY.TO,Consumer Staples
Inspire Medical Systems Inc,INSP.N,US4577301090,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Medical Devices & Implants,United States,INSP.N,Health Care
Cincinnati Financial Corp,CINF.OQ,US1720621010,Financials/Insurance/Insurance/Property & Casualty Insurance,Property & Casualty Insurance (NEC),United States,CINF.OQ,Financials
Omnicare Ord Shs,OCR.N^H15,US6819041087,Consumer Staples/Consumer Staples Distribution & Retail/Consumer Staples Distribution & Retail/Drug Retail,Drug Retailers (NEC),United States,OCR.N^H15,Consumer Staples
Access National Ord Shs,ANCX.OQ^B19,US0043371014,Financials/Banks/Banks/Diversified Banks,Banks (NEC),United States,ANCX.OQ^B19,Financials
HF Financial Ord Shs,HFFC.OQ^E16,US4041721089,Financials/Banks/Banks/Diversified Banks,Banks (NEC),United States,HFFC.OQ^E16,Financials
Cint Group AB (publ),CINT.ST,SE0015483276,Information Technology/Software & Services/Software/Application Software,Software (NEC),Sweden,CINT.ST,Information Technology
CRH PLC,CRH.N,IE0001827041,Materials/Materials/Construction Materials/Construction Materials,Construction Materials (NEC),Ireland,CRH.N,Materials
Equinox Gold Corp,EQX.A,CA29446Y5020,Materials/Materials/Metals & Mining/Gold,Gold Mining,Canada,EQX.A,Materials
Spectra Energy Ord Shs,SE^B17,US8475601097,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Storage & Transportation",Oil & Gas Transportation Services (NEC),United States,SE^B17,Energy
Epocrates Ord Shs,EPOC.O^C13,US29429D1037,Information Technology/Software & Services/Software/Application Software,Application Software,United States,EPOC.O^C13,Information Technology
Cbeyond Ord Shs,CBEY.OQ^G14,US1498471051,Communication Services/Telecommunication Services/Diversified Telecommunication Services/Integrated Telecommunication Services,Wired Telecommunications Carriers,United States,CBEY.OQ^G14,Communication Services
Avenue Financial Holdings Ord Shs,AVNU.OQ^G16,US05358K1025,Financials/Banks/Banks/Diversified Banks,Banks (NEC),United States,AVNU.OQ^G16,Financials
Bajaj Electricals Ltd,BJEL.NS,INE193E01025,Consumer Discretionary/Consumer Durables & Apparel/Household Durables/Household Appliances,"Appliances, Tools & Housewares (NEC)",India,BJEL.NS,Consumer Discretionary
Enjoei SA,ENJU3.SA,BRENJUACNOR9,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Online Services (NEC),Brazil,ENJU3.SA,Communication Services
AMCIL Ltd,AMH.AX,AU000000AMH3,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Investment Management & Fund Operators (NEC),Australia,AMH.AX,Financials
MSC Industrial Direct Co Inc,MSM.N,US5535301064,Industrials/Capital Goods/Trading Companies & Distributors/Trading Companies & Distributors,Industrial Machinery & Equipment Wholesale,United States,MSM.N,Industrials
TWFG Inc,TWFG.OQ,US87318A1016,Financials/Insurance/Insurance/Insurance Brokers,Insurance Brokers,United States,TWFG.OQ,Financials
McAfee Ord Shs,MFE.N^C11,US5790641063,Information Technology/Software & Services/Software/Application Software,Application Software,United States,MFE.N^C11,Information Technology
Migao Ord Shs,MGO.TO^I16,CA59861N1033,Materials/Materials/Chemicals/Fertilizers & Agricultural Chemicals,Agricultural Chemicals (NEC),Canada,MGO.TO^I16,Materials
DealNet Capital Ord Shs,DLS.V^K20,CA2423151091,Financials/Financial Services/Consumer Finance/Consumer Finance,Consumer Lending (NEC),Canada,DLS.V^K20,Financials
InPost SA,INPST.AS,LU2290522684,Industrials/Transportation/Air Freight & Logistics/Air Freight & Logistics,"Courier, Postal, Air Freight & Land-based Logistics (NEC)",Luxembourg,INPST.AS,Industrials
Universal Store Holdings Ltd,UNI.AX,AU0000113565,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Apparel Retail,Apparel & Accessories Retailers (NEC),Australia,UNI.AX,Consumer Discretionary
Amaroq Ltd,AMRQ.V,CA02311U1030,Materials/Materials/Metals & Mining/Gold,Gold Mining,Canada,AMRQ.V,Materials
CBL & Associates Properties Inc,CBL.N,US1248308785,Real Estate/Equity Real Estate Investment Trusts (REITs)/Retail REITs/Retail REITs,Commercial REITs (NEC),United States,CBL.N,Real Estate
Acacia Mining Ord Shs,ACAA.L^I19,GB00B61D2N63,Financials/Financial Services/Financial Services/Multi-Sector Holdings,Investment Holding Companies (NEC),United Kingdom,ACAA.L^I19,Financials
Tintri Ord Shs,TNTRQ.PK^D25,US88770Q1058,Information Technology/Software & Services/Software/Application Software,Cloud Computing Services,United States,TNTRQ.PK^D25,Information Technology
Bank of Montreal,BMO.TO,CA0636711016,Financials/Banks/Banks/Diversified Banks,Banks (NEC),Canada,BMO.TO,Financials
Lenovo Group Ltd,0992.HK,HK0992009065,"Information Technology/Technology Hardware & Equipment/Technology Hardware, Storage & Peripherals/Technology Hardware, Storage & Peripherals",Computer Hardware (NEC),China (Mainland),0992.HK,Information Technology
Sun Hung Kai Properties Ltd,0016.HK,HK0016000132,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Diversified Real Estate Activities,"Real Estate Rental, Development & Operations (NEC)",Hong Kong,0016.HK,Real Estate
Infratil Ltd,IFT.NZ,NZIFTE0003S3,Financials/Financial Services/Financial Services/Multi-Sector Holdings,Investment Management,New Zealand,IFT.NZ,Financials
Hagerty Inc,HGTY.N,US4051661092,Financials/Insurance/Insurance/Insurance Brokers,Insurance - Automobile,United States,HGTY.N,Financials
Jiayuan.com International Two ADR Reptg Three Ord Shs,DATE.OQ^E16,US4773741024,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Social Media & Networking,China (Mainland),DATE.OQ^E16,Communication Services
Outdoor Channel Holdings Ord Shs,OUTD.OQ^E13,US6900272062,Communication Services/Media & Entertainment/Media/Broadcasting,Television Broadcasting,United States,OUTD.OQ^E13,Communication Services
Puxin American Depositary Shares Representing 20 Ord shs,NEWYY.PK^F23,US74704P4054,Consumer Discretionary/Consumer Services/Diversified Consumer Services/Education Services,Miscellaneous Educational Service Providers,China (Mainland),NEWYY.PK^F23,Consumer Discretionary
J K Cement Ltd,JKCE.NS,INE823G01014,Materials/Materials/Construction Materials/Construction Materials,Cement & Concrete Manufacturing,India,JKCE.NS,Materials
Isgec Heavy Engineering Ltd,ISGE.NS,INE858B01029,Industrials/Capital Goods/Machinery/Industrial Machinery & Supplies & Components,Industrial Machinery & Equipment (NEC),India,ISGE.NS,Industrials
FS KKR Capital Corp,FSK.N,US3026352068,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Closed End Funds,United States,FSK.N,Financials
Archaea Energy Ord Shs Class A,LFG.N^L22,US03940F1030,Utilities/Utilities/Independent Power and Renewable Electricity Producers/Renewable Electricity,Biomass & Waste to Energy Electric Utilities,United States,LFG.N^L22,Utilities
Opus Bank Ord Shs,OPB.OQ^F20,US6840001027,Financials/Banks/Banks/Regional Banks,Corporate Banks,United States,OPB.OQ^F20,Financials
Merrimac Industries Ord Shs,MRM.A^B10,US5902621011,Industrials/Capital Goods/Electrical Equipment/Electrical Components & Equipment,Electrical Components & Equipment (NEC),United States,MRM.A^B10,Industrials
STATS ChipPAC Ord Shs,STTS.MU^J15,SG1I04877995,Information Technology/Semiconductors & Semiconductor Equipment/Semiconductors & Semiconductor Equipment/Semiconductor Materials & Equipment,Semiconductor Equipment & Testing (NEC),Singapore,STTS.MU^J15,Information Technology
Capstone Copper Corp,CS.TO,CA14071L1085,Materials/Materials/Metals & Mining/Copper,Copper Ore Mining,Canada,CS.TO,Materials
First Property Group PLC,FSTP.L,GB0004109889,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Diversified Real Estate Activities,"Real Estate Rental, Development & Operations (NEC)",United Kingdom,FSTP.L,Real Estate
Lagercrantz Group AB,LAGRb.ST,SE0014990966,"Information Technology/Technology Hardware & Equipment/Electronic Equipment, Instruments & Components/Electronic Equipment & Instruments",Consumer Goods Conglomerates,Sweden,LAGRb.ST,Information Technology
Winnebago Industries Inc,WGO.N,US9746371007,Consumer Discretionary/Automobiles & Components/Automobiles/Automobile Manufacturers,Recreational Products (NEC),United States,WGO.N,Consumer Discretionary
Hyperfine Inc,HYPR.OQ,US44916K1060,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Medical Imaging Systems,United States,HYPR.OQ,Health Care
Boots Group Ord Shs,AB.L^G07,GB00B0P7Y252,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),United Kingdom,AB.L^G07,Information Technology
Diebold Nixdorf Ord Shs,WING.DE^E19,DE000A0CAYB2,"Information Technology/Technology Hardware & Equipment/Technology Hardware, Storage & Peripherals/Technology Hardware, Storage & Peripherals",Computer Hardware (NEC),Germany,WING.DE^E19,Information Technology
Walking Company Holdings Ord Shs,WALKQ.PK^G18,US9320361069,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Other Specialty Retail,Miscellaneous Specialty Retailers (NEC),United States,WALKQ.PK^G18,Consumer Discretionary
South32 Ltd,S32.AX,AU000000S320,Materials/Materials/Metals & Mining/Diversified Metals & Mining,Diversified Mining,Australia,S32.AX,Materials
Abacus Group,ABG.AX,AU0000291882,Real Estate/Equity Real Estate Investment Trusts (REITs)/Office REITs/Office REITs,"Real Estate Rental, Development & Operations (NEC)",Australia,ABG.AX,Real Estate
Oceana Group Ltd,OCEJ.J,ZAE000025284,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats",Food Processing (NEC),South Africa,OCEJ.J,Consumer Staples
SeaStar Medical Holding Corp,ICU.OQ,US81256L2034,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,Medical Equipment,United States,ICU.OQ,Health Care
Laird Superfood Inc,LSF.A,US50736T1025,"Consumer Staples/Food, Beverage & Tobacco/Food Products/Packaged Foods & Meats",Vegan & Vegetarian Food Manufacturing,United States,LSF.A,Consumer Staples
Rand Capital Corp,RAND.OQ,US7521852076,Financials/Financial Services/Capital Markets/Asset Management & Custody Banks,Venture Capital,United States,RAND.OQ,Financials
Hoegh LNG Partners Units,HMLP.N^I22,MHY3262R1009,Energy/Energy/Energy Equipment & Services/Oil & Gas Equipment & Services,Sea-Borne Tankers,Bermuda,HMLP.N^I22,Energy
Vesta Insurance Group Ord Shs,VTAIQ.PK^J11,US9253911047,Financials/Insurance/Insurance/Property & Casualty Insurance,Property & Casualty Insurance (NEC),United States,VTAIQ.PK^J11,Financials
Toronto-Dominion Bank,TD.TO,CA8911605092,Financials/Banks/Banks/Diversified Banks,Banks (NEC),Canada,TD.TO,Financials
Intermap Technologies Corp,IMP.TO,CA4589774021,Information Technology/Software & Services/Software/Application Software,Geophysical Surveying & Mapping Services,United States,IMP.TO,Information Technology
Foreign Trade Bank of Latin America Inc,BLX.N,PAP169941328,Financials/Financial Services/Financial Services/Specialized Finance,Corporate Financial Services (NEC),Panama,BLX.N,Financials
Braemar Hotels & Resorts Inc,BHR.N,US10482B1017,Real Estate/Equity Real Estate Investment Trusts (REITs)/Hotel & Resort REITs/Hotel & Resort REITs,Hospitality REITs,United States,BHR.N,Real Estate
Faraday Future Intelligent Electric Inc,FFAI.OQ,US3073598852,Consumer Discretionary/Automobiles & Components/Automobiles/Automobile Manufacturers,Electric (Alternative) Vehicles,United States,FFAI.OQ,Consumer Discretionary
Solid Biosciences Inc,SLDB.OQ,US83422E2046,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Bio Therapeutic Drugs,United States,SLDB.OQ,Health Care
General Cable Ord Shs,BGC.N^F18,US3693001089,Industrials/Capital Goods/Electrical Equipment/Electrical Components & Equipment,Electrical Components & Equipment (NEC),United States,BGC.N^F18,Industrials
TradeStation Group Ord Shs,TRAD.OQ^F11,US89267P1057,Financials/Financial Services/Capital Markets/Investment Banking & Brokerage,Brokerage Services,United States,TRAD.OQ^F11,Financials
Petronet LNG Ltd,PLNG.NS,INE347G01014,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Storage & Transportation",LNG Transportation & Storage,India,PLNG.NS,Energy
Security Bank Corp,SECB.PS,PHY7571C1000,Financials/Banks/Banks/Diversified Banks,Corporate Banks,Philippines,SECB.PS,Financials
AMETEK Inc,AME.N,US0311001004,Industrials/Capital Goods/Electrical Equipment/Electrical Components & Equipment,Electrical Components & Equipment (NEC),United States,AME.N,Industrials
Compass Pathways PLC,CMPS.OQ,US20451W1018,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Biotechnology/Biotechnology",Biotechnology & Medical Research (NEC),United Kingdom,CMPS.OQ,Health Care
Marshall Motor Holdings Ord Shs,MMHM.L^F22,GB00BVYB2Q58,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Automotive Retail,New Car Dealers,United Kingdom,MMHM.L^F22,Consumer Discretionary
Prospa Group Ord Shs,PGL.AX^H24,AU0000046740,Financials/Financial Services/Consumer Finance/Consumer Finance,Online Services (NEC),Australia,PGL.AX^H24,Financials
Boxed Ord Shs Class A,BOXDQ.PK^I23,US1031741085,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Broadline Retail/Broadline Retail,Internet & Mail Order Department Stores,United States,BOXDQ.PK^I23,Consumer Discretionary
Hikal Ltd,HIKA.NS,INE475B01022,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),India,HIKA.NS,Health Care
Ovh Groupe SA,OVH.PA,FR0014005HJ9,Information Technology/Software & Services/IT Services/Internet Services & Infrastructure,Cloud Computing Services,France,OVH.PA,Information Technology
Fnac Darty SA,FNAC.PA,FR0011476928,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Computer & Electronics Retail,Computer & Electronics Retailers (NEC),France,FNAC.PA,Consumer Discretionary
ISS A/S,ISS.CO,DK0060542181,Industrials/Commercial & Professional Services/Commercial Services & Supplies/Diversified Support Services,Business Support Services (NEC),Denmark,ISS.CO,Industrials
H Lundbeck A/S,HLUNa.CO,DK0061804697,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals Wholesale,Denmark,HLUNa.CO,Health Care
Cabot Corp,CBT.N,US1270551013,Materials/Materials/Chemicals/Commodity Chemicals,Specialty Chemicals (NEC),United States,CBT.N,Materials
Ipc Healthcare Ord Shs,IPCM.OQ^K15,US44984A1051,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Health Care Facilities,"Hospitals, Clinics & Primary Care Services",United States,IPCM.OQ^K15,Health Care
Etrion Ord Shs,ETX.TO^I21,CA29786T1057,Utilities/Utilities/Independent Power and Renewable Electricity Producers/Renewable Electricity,Solar Electric Utilities,Switzerland,ETX.TO^I21,Utilities
HCL Technologies Ltd,HCLT.NS,INE860A01027,Information Technology/Software & Services/IT Services/IT Consulting & Other Services,IT Services & Consulting (NEC),India,HCLT.NS,Information Technology
Signature Bank,SBNY.PK,US82669G1040,Financials/Banks/Banks/Regional Banks,Banks (NEC),United States,SBNY.PK,Financials
Vertiv Holdings Co,VRT.N,US92537N1081,Industrials/Capital Goods/Electrical Equipment/Electrical Components & Equipment,Electrical Components & Equipment (NEC),United States,VRT.N,Industrials
IAC Inc,IAC.OQ,US44891N2080,Communication Services/Media & Entertainment/Interactive Media & Services/Interactive Media & Services,Online Services (NEC),United States,IAC.OQ,Communication Services
Mynd.ai Inc,MYND.A,US6289881079,Consumer Discretionary/Consumer Services/Diversified Consumer Services/Education Services,Miscellaneous Educational Service Providers,United States,MYND.A,Consumer Discretionary
Rogers Wireless Common Stock,RCMrvb.TO^A05,CA7753151041,Communication Services/Telecommunication Services/Wireless Telecommunication Services/Wireless Telecommunication Services,Wireless Telecommunications Services (NEC),Canada,RCMrvb.TO^A05,Communication Services
Daegis Ord Shs,DAEG.PK^K15,US2337201014,Information Technology/Software & Services/Software/Application Software,Enterprise Software,United States,DAEG.PK^K15,Information Technology
Citadel Broadcasting Ord Shs Class B,CDELB.PK^I11,US17285T3041,Communication Services/Media & Entertainment/Media/Broadcasting,Radio Broadcasting,United States,CDELB.PK^I11,Communication Services
Ucb SA,UCB.BR,BE0003739530,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Biopharmaceuticals,Belgium,UCB.BR,Health Care
Archean Chemical Industries Ltd,ARCN.NS,INE128X01021,Materials/Materials/Chemicals/Specialty Chemicals,Specialty Chemicals (NEC),India,ARCN.NS,Materials
Boston Beer Company Inc,SAM.N,US1005571070,"Consumer Staples/Food, Beverage & Tobacco/Beverages/Brewers",Brewers (NEC),United States,SAM.N,Consumer Staples
Emeritus Ord Shs,ESC.N^G14,US2910051067,Health Care/Health Care Equipment & Services/Health Care Providers & Services/Health Care Facilities,Residential & Long-Term Care,United States,ESC.N^G14,Health Care
